OBJECTID,NAME,state,coyote_year_agencies,coyote_map,xcoord_centroid,ycoord_centroid,human.pop2010,area_sqkm,human.pop.dens.2010,BIO12_median,BIO15_median,BIO17_median,snow_mean,tree.canopy_mean.2011,mixed.f.2011,devel.21.22.2011,NPPmedian,NPPstdev,MIXED_FORE.1992,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,huntdays.2004,huntdays.2005,huntdays.2006,huntdays.2007,huntdays.2008,huntdays.2009,huntdays.2010,huntdays.2011,huntdays.2012,huntdays.2013,huntdays.2014,huntdays.2015
343,Hamilton,Florida,1981,1980,-82.94,30.5,14799,1306.21,11.33,1344,32,214,1.44,57.116,2.47,5.057,1489,270.1157311,7.01,,,,,,,,,,,,,,,,,,,,,,,,,1320,1437,1230,1637,2313,845,2095,3170,2891,2499,,,,,,,,,,41600,44454,44439,26407,
344,Hardee,Florida,2000,1990,-81.81,27.49,27731,1669.3,16.612,1271,57,154,0,26.963,0.047,3.604,1151,79.96132906,13.33,,,,,,,,,,,,,,,,,,,,,,,,,780,1507,2012,2531,1121,3251,1656,1692,1012,984,,,,,,,,,,25748,19392,11913,14004,
345,Hendry,Florida,1988,1990,-81.17,26.55,39140,3106.17,12.601,1301,60,139,0,17.272,0.06,3.552,1157.666626,108.9964241,13.04,,,,,,,,,,,,,,,,,,,,,,,,,480,666,2012,893,1121,1626,2000,1426,677,886,,,,,,,,,,35396,20450,10711,16479,
346,Hernando,Florida,1988,1980,-82.42,28.55,172778,1289.28,134.011,1367,49,183,0,46.614,0.158,22.334,1222.333374,157.2190724,14.32,,,,,,,,,,,,,,,,,,,,,,,,,480,2664,1901,372,701,1105,1084,497,1243,815,,,,,,,,,,50469,37768,54862,23989,
347,Highlands,Florida,1988,1990,-81.34,27.34,98786,2883.23,34.262,1215,57,143,0,19.19,0.064,9.173,1130.333374,89.39948375,6.76,,,,,,,,,,,,,,,,,,,,,,,,,540,1017,1453,1116,1051,1365,3591,1004,2548,2189,,,,,,,,,,80309,22881,56695,56766,
348,Hillsborough,Florida,1988,1990,-82.31,27.93,1229226,2785.16,441.348,1264,55,166,0,31.208,0.132,25.463,1111.333374,107.7938823,11.91,,,,,,,,,,,,,,,,,,,,,,,,,180,140,335,447,771,1365,693,373,226,369,,,,,,,,,,16402,14514,9376,12050,
349,Holmes,Florida,1981,1970,-85.81,30.87,19927,1296.71,15.367,1491,22,284,1.37,61.073,2.015,4.365,1238.666626,236.3955392,12.77,,,,,,,,,,,,,,,,,,,,,,,,,1410,1683,3354,3573,1963,4616,1594,3466,6060,3094,,,,,,,,,,20834,53234,92777,42952,
350,Indian River,Florida,1988,1990,-80.62,27.69,138028,1275.02,108.256,1263,42,171,0,23.699,0.102,13.176,1434,65.97616694,12.03,,,,,,,,,,,,,,,,,,,,,,,,,60,35,1006,819,NA,520,659,174,341,300,,,,,,,,,,8003,6445,5381,2976,
351,Jackson,Florida,1981,1970,-85.21,30.8,49746,2497.46,19.919,1433,22,267,1.18,49.685,0.969,6.009,1138.5,136.3590465,12.04,,,,,,,,,,,,,,,,,,,,,,,,,4049,5959,6596,9155,5467,11314,3742,6108,4094,4720,,,,,,,,,,42807,69321,59567,46852,
352,Jefferson,Florida,1988,1980,-83.9,30.43,14761,1651.92,8.936,1436,26,251,1.67,68.635,7.04,3.86,1785.333374,260.1742961,0.01,,,,,,,,,,,,,,,,,,,,,,,,,2519,2699,3689,6326,3505,3706,2319,1864,2503,1146,,,,,,,,,,24904,27071,33400,28445,
353,Lafayette,Florida,1988,1980,-83.18,29.99,8870,1453.75,6.101,1340,39,205,0.63,67.044,1.911,4.614,1460,384.9533596,15.66,,,,,,,,,,,,,,,,,,,,,,,,,540,1262,1453,1712,1612,1300,1303,2484,1445,1732,,,,,,,,,,29861,43538,29131,32827,
354,Lake,Florida,1981,1980,-81.71,28.76,297052,3060.24,97.068,1261,44,177,0,35.015,0.253,11.335,1182.666626,295.6237352,24.32,,,,,,,,,,,,,,,,,,,,,,,,,600,561,1677,1489,1051,2406,3255,3568,651,2811,,,,,,,,,,97769,75024,25100,93604,
355,Lee,Florida,1998,1990,-81.8,26.58,618754,1974.77,313.33,1330,66,133,0,21.771,0.053,38.869,1231.333374,101.0878366,21.55,,,,,,,,,,,,,,,,,,,,,,,,,210,35,224,298,491,130,604,326,210,454,,,,,,,,,,19825,10524,4927,10152,
356,Leon,Florida,1988,1980,-84.28,30.46,275487,1857.15,148.339,1487,26,261,1.89,62.023,6.029,13.145,1614,223.4958248,33.92,,,,,,,,,,,,,,,,,,,,,,,,,1080,1613,2124,2233,3154,650,2572,2032,1571,772,,,,,,,,,,43302,43972,30803,26826,
357,Levy,Florida,1988,1980,-82.74,29.33,40801,2954.8,13.808,1350,45,189,0,54.561,0.006,5.49,1447.333374,389.118444,8.63,,,,,,,,,,,,,,,,,,,,,,,,,4349,5223,4696,6624,6729,8518,8371,5974,2542,1696,,,,,,,,,,177872,109546,73284,49625,
358,Liberty,Florida,1981,1980,-84.88,30.24,8365,2256.59,3.707,1517,29,269,2.42,80.742,0.177,2.519,1881.333374,126.7829053,0.02,,,,,,,,,,,,,,,,,,,,,,,,,960,4207,2012,2382,1752,1560,1508,2573,793,1434,,,,,,,,,,37481,38294,40937,41496,
359,Madison,Florida,1988,1980,-83.47,30.45,19224,1858.7,10.343,1367,29,228,1.38,61.701,7.072,4.676,1479.333374,233.573108,11.98,,,,,,,,,,,,,,,,,,,,,,,,,1559,3155,2460,3721,3925,4877,3946,4054,1728,4155,,,,,,,,,,70841,59715,32422,70996,
360,Manatee,Florida,NA,1990,-82.3,27.47,322833,1925.05,167.701,1328,61,165,0,23.322,0.044,13.572,1135.333374,102.8713062,15.46,,,,,,,,,,,,,,,,,,,,,,,,,240,526,894,1042,771,325,994,606,225,80,,,,,,,,,,17840,6405,2487,3775,
361,Marion,Florida,1981,1980,-82.05,29.21,331298,4376.38,75.701,1319,41,195,0,45.5,0.049,13.206,1511.333374,336.60122,16.29,,,,,,,,,,,,,,,,,,,,,,,,,3959,2594,3578,4689,2663,2406,4340,4885,532,1779,,,,,,,,,,182610,137811,43640,103633,
362,Martin,Florida,2000,1990,-80.45,27.07,146318,1692.08,86.472,1316,45,175,0,14.064,0.041,11.59,1398.333374,448.5129308,1.12,,,,,,,,,,,,,,,,,,,,,,,,,510,386,783,893,280,780,1070,941,1121,873,,,,,,,,,,18245,19039,17247,16122,
363,Miami-Dade,Florida,NA,1990,-80.57,25.61,2496435,5213.67,478.825,1405,60,136,0,11.23,0.039,12.204,1080,440.0947973,0,,,,,,,,,,,,,,,,,,,,,,,,,270,105,NA,74,NA,NA,165,62,33,104,,,,,,,,,,7754,5952,1390,4162,
364,Monroe,Florida,NA,1990,-80.99,25.49,73090,2257.23,32.38,1295,64,124,0,40.134,0.002,0.614,1255.333252,234.7750495,0,,,,,,,,,,,,,,,,,,,,,,,,,90,NA,112,NA,NA,NA,74,74,33,31,,,,,,,,,,2681,4156,1239,1975,
365,Nassau,Florida,1988,1990,-81.83,30.61,73314,1602.07,45.762,1314,37,205,1.78,63.471,1.692,6.385,2159,207.6848157,29.69,,,,,,,,,,,,,,,,,,,,,,,,,2129,2173,3242,4094,2734,325,2130,2132,1865,2595,,,,,,,,,,35014,40461,36613,44467,
366,Okaloosa,Florida,1981,1970,-86.59,30.71,180822,2438.67,74.148,1552,22,298,1.94,53.656,2.459,9.695,1461.5,217.6293628,5.93,,,,,,,,,,,,,,,,,,,,,,,,,4439,4697,5031,9304,10163,10598,3345,4150,3786,3534,,,,,,,,,,53483,137905,70659,100994,
367,Okeechobee,Florida,1988,1990,-80.89,27.39,39996,2297.57,17.408,1209,53,145,0,15.247,0.143,4.151,1185.5,140.7400117,19.36,,,,,,,,,,,,,,,,,,,,,,,,,1020,1472,447,1191,1192,2081,1554,1988,619,1699,,,,,,,,,,28545,32553,11448,36107,
368,Orange,Florida,1981,1980,-81.32,28.51,1145956,2654.79,431.656,1253,48,171,0,29.743,0.559,26.25,1301.333374,235.2673411,18.03,,,,,,,,,,,,,,,,,,,,,,,,,540,841,1789,1191,1332,1691,803,672,1223,2709,,,,,,,,,,21441,18229,20497,47080,
369,Osceola,Florida,1988,1990,-81.15,28.06,268685,3902.3,68.853,1231,49,165,0,23.035,0.167,7.025,1219,141.6846817,17.57,,,,,,,,,,,,,,,,,,,,,,,,,2489,2910,2236,2382,3154,6957,3447,3160,2227,2813,,,,,,,,,,95568,73902,56089,87071,
370,Palm Beach,Florida,2000,1990,-80.48,26.65,1320134,5642.19,233.975,1413,50,169,0,9.325,0.005,14.285,1399.5,405.2253001,12.47,,,,,,,,,,,,,,,,,,,,,,,,,2249,315,1342,74,561,585,1231,1571,312,430,,,,,,,,,,69425,77000,29489,52913,
371,Pasco,Florida,1997,1990,-82.39,28.31,464697,1959.21,237.186,1352,50,185,0,38.897,0.121,19.803,1142.666748,145.4512463,21.34,,,,,,,,,,,,,,,,,,,,,,,,,930,1017,559,1191,2173,1626,2578,1888,2006,1415,,,,,,,,,,59031,48418,68459,31572,
372,Pinellas,Florida,2000,1990,-82.73,27.94,916542,807.51,1135.028,1256,53,183,0,20.502,0.091,40.995,1195.666626,185.102052,30.51,,,,,,,,,,,,,,,,,,,,,,,,,180,NA,NA,NA,NA,NA,NA,124,28,28,,,,,,,,,,952,4235,1154,331,
373,Polk,Florida,1970,1990,-81.7,27.95,602095,5279.96,114.034,1244,53,165,0,28.671,0.103,13.727,1124,149.806106,8.89,,,,,,,,,,,,,,,,,,,,,,,,,1410,1542,2571,2382,1332,3446,5017,3605,1543,2724,,,,,,,,,,150108,107714,77836,115809,
374,Putnam,Florida,1988,1980,-81.74,29.61,74364,2158.17,34.457,1310,40,203,0,48.533,0.645,10.61,1930,276.0283036,11.53,,,,,,,,,,,,,,,,,,,,,,,,,1200,1297,3466,3945,1822,1756,2134,1361,647,1322,,,,,,,,,,28466,21256,21242,39319,
375,St. Johns,Florida,1981,1990,-81.45,29.89,190039,1533.28,123.943,1270,39,203,0.48,53.505,0.912,11.574,2193.333252,234.8644108,21.11,,,,,,,,,,,,,,,,,,,,,,,,,330,1577,3689,2531,2453,195,3597,4123,2514,2544,,,,,,,,,,55702,76889,47160,57117,
376,St. Lucie,Florida,1997,1990,-80.49,27.38,277789,1467.34,189.315,1293,43,177,0,14.635,0.029,21.73,1324.666626,60.88373192,38.66,,,,,,,,,,,,,,,,,,,,,,,,,750,280,447,1489,701,910,958,710,108,216,,,,,,,,,,11745,10137,2148,4418,
377,Santa Rosa,Florida,1988,1970,-87.01,30.73,151372,2794.75,54.163,1584,21,306,1.62,52.836,0.904,10.124,1530.166748,191.2921103,20.92,,,,,,,,,,,,,,,,,,,,,,,,,3689,5609,6373,12281,10584,11249,467,850,797,1041,,,,,,,,,,10396,12517,13812,29764,
378,Sarasota,Florida,2000,1990,-82.32,27.18,379448,1485.1,255.503,1321,61,165,0,29.923,0.064,24.913,1316.5,198.2310349,14.08,,,,,,,,,,,,,,,,,,,,,,,,,180,140,1901,298,631,1560,561,1135,777,984,,,,,,,,,,13183,13937,20812,23410,
379,Seminole,Florida,1997,1990,-81.23,28.71,422718,886.37,476.911,1257,47,162,0,36.232,0.387,32.866,1344,145.8062974,0.01,,,,,,,,,,,,,,,,,,,,,,,,,420,596,4137,893,350,1951,243,496,697,302,,,,,,,,,,5625,3650,11077,5693,
380,Sumter,Florida,1988,1980,-82.08,28.7,93420,1515.47,61.644,1295,46,175,0,41.879,0.036,7.662,1191.333374,261.3512295,26.83,,,,,,,,,,,,,,,,,,,,,,,,,390,666,1789,4391,981,780,1855,2332,798,724,,,,,,,,,,87431,50387,36131,32640,
381,Suwannee,Florida,1988,1980,-82.99,30.2,41551,1848.09,22.483,1340,35,210,1.09,44.918,4.004,7.271,1199.333374,137.1173638,11.07,,,,,,,,,,,,,,,,,,,,,,,,,1170,771,447,1489,1472,975,3141,5077,2228,2784,,,,,,,,,,43894,64478,24530,44612,
382,Taylor,Florida,1988,1980,-83.6,30.05,22570,2746.63,8.217,1432,37,225,1.09,71.182,2.025,4.971,1962.833252,191.5483673,9.91,,,,,,,,,,,,,,,,,,,,,,,,,1859,2664,4248,3796,4135,4421,1918,2322,4956,2093,,,,,,,,,,57462,45187,103133,69751,
383,Union,Florida,1988,1980,-82.37,30.04,15535,660.73,23.512,1344,40,195,1.04,62.345,1.308,5.193,1684.333374,137.0090099,11.92,,,,,,,,,,,,,,,,,,,,,,,,,660,1087,1006,819,1262,845,517,1277,619,517,,,,,,,,,,13612,21112,10087,11341,
384,Volusia,Florida,1997,1990,-81.19,29.06,494593,3121.6,158.442,1305,42,191,0,44.236,0.168,16.827,1649.333374,231.9702058,13.6,,,,,,,,,,,,,,,,,,,,,,,,,2039,2980,4807,2903,2313,2666,3039,3245,2540,2674,,,,,,,,,,71882,66367,46993,62816,
385,Wakulla,Florida,1988,1980,-84.4,30.17,30776,1629.66,18.885,1511,30,262,2.24,75.32,4.534,4.864,1894.166748,98.07381501,16.25,,,,,,,,,,,,,,,,,,,,,,,,,2249,1648,4137,4763,3715,2991,2411,1516,1942,1013,,,,,,,,,,30491,28216,47050,22442,
386,Walton,Florida,1981,1970,-86.16,30.66,55043,2869.55,19.182,1566,25,298,1.82,58.681,1.779,6.373,1574.5,320.8177039,0.25,,,,,,,,,,,,,,,,,,,,,,,,,2249,3365,3242,3721,4977,6047,2093,2422,3053,4096,,,,,,,,,,37705,51389,66388,63638,
387,Washington,Florida,1981,1970,-85.66,30.61,24896,1630.41,15.27,1532,24,289,1.56,59.905,1.301,6.25,1424.666626,303.9789899,0.01,,,,,,,,,,,,,,,,,,,,,,,,,2609,2804,3130,5508,4065,3836,912,1992,3302,2472,,,,,,,,,,19422,38108,63125,50411,
1775,Atlantic,New Jersey,1983,1990,-74.7,39.48,274685,1392.23,197.201,1098,11,256,20,52.65,7.377,15.874,1377.5,100.4774377,0,,,,,,,,,,,,,,,,2932,2673,2422,2615,3276,3361,4043,3328,3998,2411,3250,2146,2037,2290,2011,2536,1927,1880,2402,2260,1488,,,,,,,,,,,,
1776,Bergen,New Jersey,1969,1980,-74.07,40.95,906541,641.94,1409.974,1191,10,260,26.88,35.051,0.008,52.039,1127.833252,780.6531926,12.28,,,,,,,,,,,,,,,,45,37,50,53,53,54,55,55,54,48,32,58,37,42,85,74,100,111,118,110,106,,,,,,,,,,,,
1777,Burlington,New Jersey,1981,1990,-74.67,39.87,449149,2151.01,208.615,1128,13,256,25.55,46.14,4.254,17.929,1375.833374,286.3336728,0,,,,,,,,,,,,,,,,4569,4235,4450,4425,4892,6285,5660,5183,6013,4937,5557,4666,3984,4387,4444,4867,4248,4386,4856,4555,4540,,,,,,,,,,,,
1778,Camden,New Jersey,1996,1990,-74.97,39.8,513607,588.17,873.312,1129,12,254,21,37.566,1.914,38.787,1191.166626,745.9295662,21.13,,,,,,,,,,,,,,,,634,505,506,491,758,806,792,717,838,767,758,544,544,691,734,866,822,781,912,928,812,,,,,,,,,,,,
1779,Cape May,New Jersey,1948,1990,-74.81,39.16,97253,593.85,163.787,1073,10,250,12.58,40.772,4.164,14.752,1237.666748,150.1696361,2.05,,,,,,,,,,,,,,,,823,796,779,960,1007,897,827,674,983,652,736,542,552,560,507,533,282,285,500,413,273,,,,,,,,,,,,
1780,Cumberland,New Jersey,1983,1990,-75.12,39.37,157149,1331.5,117.836,1086,10,252,17.24,36.765,3.643,11.396,1142.833374,176.5830828,16.52,,,,,,,,,,,,,,,,2763,2697,2576,2789,3083,3275,3520,2852,3715,2798,3120,2577,2395,2568,2648,2710,2212,2412,2705,2671,2092,,,,,,,,,,,,
1781,Essex,New Jersey,1984,1980,-74.25,40.78,784228,336.37,2330.688,1234,11,268,24.34,31.768,0.101,48.293,3060,0,6.31,,,,,,,,,,,,,,,,99,87,155,112,163,158,102,105,63,70,77,121,93,133,132,192,152,164,205,195,243,,,,,,,,,,,,
1782,Gloucester,New Jersey,1991,1990,-75.15,39.71,288581,867.96,332.144,1110,11,248,20.93,34.188,0.796,26.588,966,125.4305286,0.18,,,,,,,,,,,,,,,,2480,2442,2385,2398,2753,2793,2588,2194,2433,2106,2114,2127,1929,2344,2547,2630,2282,2000,2236,2169,1838,,,,,,,,,,,,
1783,Hudson,New Jersey,1999,2000,-74.06,40.74,635294,146.41,4332.093,1155,10,256,17.21,4.746,0.015,10.992,856,129,11.66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1784,Hunterdon,New Jersey,1939,1980,-74.91,40.56,128373,1119.53,114.645,1199,11,261,31.79,42.136,0.821,15.003,1181.666626,75.70036853,24,,,,,,,,,,,,,,,,9594,9629,10132,11031,14684,14331,12576,11602,11893,11138,10513,10697,7348,8629,8519,8895,8021,8437,8027,8732,6401,,,,,,,,,,,,
1785,Mercer,New Jersey,1969,1980,-74.7,40.28,366789,587.3,624.062,1148,14,251,24.58,34.969,1.042,34.974,1062.666626,85.71673653,19.75,,,,,,,,,,,,,,,,1961,2065,2053,2124,3054,3067,2509,2372,2407,1900,1870,1990,1495,1735,1906,2257,2046,2136,2198,2423,1897,,,,,,,,,,,,
1786,Middlesex,New Jersey,1979,1980,-74.42,40.43,810986,805.07,1005.944,1176,12,260,23.1,31.447,0.561,38.015,1180,768.9984731,3.61,,,,,,,,,,,,,,,,1445,1245,1360,1581,2060,1882,1678,1554,1819,1344,1282,1276,904,1127,988,1122,1201,1135,1261,1336,1193,,,,,,,,,,,,
1787,Monmouth,New Jersey,1980,1980,-74.24,40.25,630966,1183.16,532.794,1174,11,270,23.94,38.78,1.583,36.795,1388.833252,492.898332,2.36,,,,,,,,,,,,,,,,3443,2920,3275,2977,4049,4583,4279,3965,5320,4146,4320,4087,3336,3738,3837,4110,3979,3957,4683,4654,4004,,,,,,,,,,,,
1788,Morris,New Jersey,1976,1970,-74.54,40.85,492694,1246.61,394.892,1265,11,271,32.08,57.184,0.962,27.669,1310,46.77793381,0.02,,,,,,,,,,,,,,,,4365,4365,4409,4315,5446,5434,4378,4588,4462,3822,4085,4316,3326,3988,3860,4065,3939,3895,3465,3210,2276,,,,,,,,,,,,
1789,Ocean,New Jersey,1962,1990,-74.31,39.91,577603,1616.88,356.592,1147,12,267,24.64,42.15,5.129,21.849,1545.833252,212.2875856,16.59,,,,,,,,,,,,,,,,2643,2400,2658,2125,2593,3397,3078,2886,3895,2766,3193,2148,1817,2060,1818,2401,2146,1816,2323,1868,1599,,,,,,,,,,,,
1790,Passaic,New Jersey,1958,1970,-74.3,41.03,501860,516.89,969.699,1243,10,271,32.15,53.658,0.915,26.032,1335.666626,860.4865679,15.84,,,,,,,,,,,,,,,,530,500,529,531,553,486,392,496,446,384,373,395,449,451,497,427,578,431,356,320,231,,,,,,,,,,,,
1791,Salem,New Jersey,1982,1990,-75.35,39.58,66058,908.15,72.767,1092,10,244,17.97,26.554,1.384,9.991,940.666687,60.43194075,3.12,,,,,,,,,,,,,,,,3592,3549,3426,3615,3218,3052,3337,2814,3033,3079,3269,3325,2980,3428,3588,3534,2701,2692,2687,2570,2082,,,,,,,,,,,,
1792,Somerset,New Jersey,1957,1980,-74.62,40.56,324194,794.44,407.133,1180,13,255,28.93,40.346,1.148,35.049,1239.666626,117.9543007,22.36,,,,,,,,,,,,,,,,3818,3637,3820,3851,5590,5796,5430,4946,5037,5089,4213,4508,3143,3770,3735,4144,3369,3649,3501,4200,3036,,,,,,,,,,,,
1793,Sussex,New Jersey,1975,1970,-74.69,41.13,149239,1372.49,108.755,1166,12,245,40.88,59.267,10.139,11.212,1195.833374,119.0759441,24.34,,,,,,,,,,,,,,,,7047,6208,7495,7114,8401,8600,7185,6714,6625,5775,5417,5715,5646,5767,5680,5226,5055,4944,4506,4972,3430,,,,,,,,,,,,
1794,Union,New Jersey,2000,1980,-74.31,40.65,537661,279.43,1919.97,1208,11,265,22.22,28.415,1.414,47.427,3060,0,14.44,,,,,,,,,,,,,,,,0,0,0,40,23,3,21,13,27,11,79,73,71,35,24,31,270,114,134,120,150,,,,,,,,,,,,
1795,Warren,New Jersey,1953,1970,-75,40.85,108714,950.08,114.403,1189,11,255,35.67,50.234,8.439,12.224,1165,77.38039299,24.34,,,,,,,,,,,,,,,,6986,6714,7071,6867,9742,9243,7520,6710,6380,5320,5394,5362,4929,5510,5206,4779,4652,4593,4377,4868,3629,,,,,,,,,,,,
