OBJECTID,NAME,state,coyote_year,coyote_year_recl,coyote_James,dif_betw_James_agencies,xcoord,ycoord,yr.since.coy.1980,yr.since.coy.1985,yr.since.coy.1990,yr.since.coy.1995,yr.since.coy.2000,yr.since.coy.2005,yr.since.coy.2010,yr.since.coy.2014,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2014,pop.growth.2005.2010,WHITE,BLACK,MED_AGE,Area_sqkm,Pop.dens.2010,BIO5_median,BIO6_median,BIO7_median,BIO12_median,BIO15_median,BIO17_median,altitude,snow_mean,OPEN_WATER.1992,LOW_INTENS.1992,high.developed.1992,DECIDUOUS_.1992,EVERGREEN.1992,MIXED_FORE.1992,SHRUBLAND.1992,grass.pastures.1992,ROW_CROPS.1992,WOODY_WETL.1992,HERBACEOUS_WETL.1992,water.2001,devel.21.22.2001,devel.23.24.2001,decidious.f.2001,evergreen.2001,mixed.f.2001,shrub.2001,grass.pastures.2001,crops.2001,woody.wetlands.2001,herbaceous.wetlands.2001,water.2006,devel.21.22.2006,devel.23.24.2006,decidious.f.2006,evergreen.2006,mixed.f.2006,shrub.2006,grass.pastures.2006,crop.2006,woody.wetlands.2006,herbaceous.wetlands.2006,tree.canopy_mean.2011,water.2011,decidious.f.2011,evergreen.2011,mixed.f.2011,shrub.2011,grass.pasture.2011,crops.2011,woody.wetl.2011,herbaceous.wetlands.2011,devel.21.22.2011,devel.23.24.2011,NPPmedian,NPPstdev,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
2086,Lake,Ohio,NA,NA,1950,NA,-81.23,41.69,NA,NA,NA,NA,NA,NA,NA,NA,212801,213641,215500,224790,227548,227647,230101,229230,1.002146733,212713,7306,42.2,615.92,373.49,273,-85,357,989,17,183,241.62,43.65,1.48,14.58,6.23,42.63,1.54,0.78,0,13.19,8.14,5.26,1.35,1.3,37.74,5.26,34.57,0.19,0.04,0.21,10.55,8.96,0.43,0.01,1.299,37.74,5.256,34.573,0.19,0.04,0.214,10.548,8.964,0.427,0.012,39.28,1.292,32.826,0.217,0.04,0.526,10.39,8.747,0.604,0.043,38.348,6.186,1042.333374,72.58743316,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,26,24,46,45,49,91,84,127,126,155,171,215,218,205,213,212,228,262,261,294,300,346,245,334,320,287,287,274,278,311,287,313,340,
2087,Lawrence,Ohio,NA,NA,1920,NA,-82.54,38.59,NA,NA,NA,NA,NA,NA,NA,NA,63849,62742,61834,62858,62237,62476,62380,61623,0.999692493,59864,1278,40.1,1208.53,51.674,301,-63,364,1082,16,232,234.57,7.47,2.02,1.28,0.99,62.42,11.14,3.65,0,13.4,2.43,0.05,0.1,1.81,8.01,1.38,68.17,2.06,0.27,0.63,14.83,1.64,0.15,0,1.811,8.013,1.383,68.17,2.063,0.269,0.625,14.83,1.635,0.153,0,67.416,1.857,67.895,2.126,0.268,0.749,14.647,1.545,0.152,0.001,8.069,1.596,1403.333374,36.81725817,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,207,256,280,290,340,387,442,523,662,818,824,1038,1070,1183,1155,1218,1123,1038,1234,1398,1376,1231,1278,1244,1401,1325,1216,1246,1176,1262,1129,972,817,1017,
2096,Meigs,Ohio,NA,NA,1940,NA,-82.03,39.08,NA,NA,NA,NA,NA,NA,NA,NA,23641,23304,22987,23451,23028,23588,23745,23331,1.001327655,23150,206,41.2,1099.62,21.617,297,-71,368,1043,16,217,230.2,12.24,1.12,0.47,0.2,53.7,8.53,1.92,0,27.64,4.59,0.05,0.08,1.11,7.05,0.18,65.72,1.57,0.06,0.33,19.37,3.54,0.04,0.01,1.115,7.047,0.176,65.719,1.568,0.063,0.325,19.371,3.539,0.038,0.006,59.779,1.111,65.39,1.642,0.062,0.423,19.36,3.501,0.038,0.008,7.076,0.299,1366.333374,50.73894717,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,943,992,1042,930,1004,1089,1276,999,1111,1236,1408,1399,1536,1650,1510,1615,1519,1700,1659,1778,1674,1738,1784,1647,1939,1602,1694,1761,1495,1564,1485,1338,1256,1670,
2099,Monroe,Ohio,NA,NA,1950,NA,-81.08,39.72,NA,NA,NA,NA,NA,NA,NA,NA,17382,16237,15497,15196,15172,14943,14590,14465,0.995230092,14358,61,44.7,1165.25,12.566,285,-79,364,1063,17,213,325.23,19.49,0.99,0.49,0.29,60.61,9.03,4.1,0,22.27,1.47,0.01,0.03,0.78,7.04,0.22,73.89,1.6,0.03,0.04,11.77,4.02,0.01,0,0.785,7.04,0.222,73.894,1.599,0.029,0.039,11.767,4.02,0.005,0.003,66.822,0.714,73.783,1.587,0.029,0.047,11.867,4.013,0.004,0.009,7.02,0.239,1401.333374,104.2704738,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,541,650,669,619,750,853,1077,931,1050,1060,1255,1271,1328,1418,1204,1147,1042,1217,1491,1648,1854,1642,1811,1592,1896,1547,1859,1826,1389,1398,1336,1025,898,1144,
2104,Noble,Ohio,NA,NA,1950,NA,-81.45,39.76,NA,NA,NA,NA,NA,NA,NA,NA,11310,11363,11336,11837,14108,14210,14637,14363,1.005938891,14072,368,48.4,1052.36,13.916,289,-76,365,1003,18,196,293.26,19.49,1.65,0.47,0.18,59.21,2.33,1.24,0,29,4.15,0.1,0.03,1.26,7.4,0.18,67.62,0.92,0,0.37,15.96,5.28,0.05,0.01,1.262,7.404,0.177,67.615,0.916,0.003,0.373,15.959,5.277,0.05,0.013,58.212,1.266,67.194,0.901,0.003,0.515,16.019,5.235,0.049,0.013,7.384,0.2,1337.666626,56.04271016,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,588,675,726,696,778,807,1099,895,892,947,1085,1138,1297,1308,1135,1158,1338,1407,1271,1452,1581,1548,1627,1497,1878,1466,1714,1780,1521,1500,1421,1155,1021,1277,
2125,Vinton,Ohio,NA,NA,1920,NA,-82.48,39.25,NA,NA,NA,NA,NA,NA,NA,NA,11584,11323,11098,12187,12825,13370,13415,13234,1.000672244,13157,39,39.6,1081.06,12.428,292,-78,370,1033,19,204,258.79,14.35,0.53,0.29,0.12,75,2.07,0.42,0,14.3,4.66,0.08,0.07,0.43,6.04,0.1,75.94,2.02,0.01,0.69,9.72,3.35,0.05,0.02,0.433,6.044,0.099,75.944,2.021,0.007,0.691,9.717,3.348,0.054,0.021,68.964,0.439,74.75,1.827,0.007,0.872,10.922,3.331,0.054,0.021,6.02,0.147,1356.666748,62.45093162,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,584,659,765,591,535,586,747,787,857,990,1290,1350,1383,1434,1490,1476,1273,960,1502,1471,1477,1410,1176,1179,1458,1265,1277,1486,1247,1280,1305,1110,990,1336,
2126,Warren,Ohio,NA,NA,1920,NA,-84.16,39.43,NA,NA,NA,NA,NA,NA,NA,NA,99276,102828,113973,130526,161716,195499,213192,221659,1.017478574,192431,6940,37.6,1088.54,195.393,295,-72,367,1038,18,207,258.92,26.44,1.67,4.8,1.54,22.05,0.61,0.07,0,29.64,37.01,0.07,0.1,1.64,19.02,2.71,27,0.84,0.23,0.6,21.01,25.29,0.01,0.15,1.64,19.016,2.715,26.995,0.841,0.226,0.604,21.007,25.287,0.008,0.154,26.019,1.642,26.468,0.832,0.219,0.6,20.332,24.227,0.015,0.155,20.572,3.416,905,9.384672347,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30,40,50,61,81,113,141,166,215,225,230,264,298,364,390,335,355,418,449,536,547,589,455,579,713,638,618,661,656,674,670,509,503,585,
2323,Beaufort,South Carolina,NA,NA,1990,NA,-80.73,32.39,NA,NA,NA,NA,NA,NA,NA,NA,65364,77295,86425,104703,122306,141498,162989,175852,1.028683085,116606,31290,40.6,1504.82,107.809,323,33,291,1274,35,211,6.83,1.72,32.07,1.85,2.01,1.75,26.32,3.62,0,1.92,4.59,9.51,11.73,15.18,7.61,0.79,0.41,19.47,0.8,4.94,2.83,2.03,16.03,29.06,15.18,7.607,0.792,0.414,19.466,0.803,4.941,2.833,2.031,16.031,29.061,37.517,15.243,0.393,17.896,0.739,5.232,2.649,1.909,15.659,29.073,8.916,1.257,1267.333374,206.487943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,650,1489,3511,1037,1063,1404,825,1296,872,1480,,
2326,Charleston,South Carolina,NA,NA,1990,NA,-79.95,32.84,NA,NA,NA,NA,NA,NA,NA,NA,276556,283942,295159,300950,310749,331589,351482,381015,1.011720604,224910,104239,35.9,2547.19,137.488,319,31,290,1264,32,222,7.3,1.72,21.65,3.15,4.58,4.22,25.42,7.21,0,1.66,4.29,13.75,10.36,10.23,9.12,1.94,0.42,17.7,1.09,5.66,4.03,1.48,25.21,21.77,10.231,9.116,1.943,0.422,17.698,1.091,5.656,4.032,1.476,25.212,21.774,48.61,10.236,0.392,16.829,1.02,6.025,4.016,1.495,24.743,21.844,9.444,2.506,1385.166748,332.8634164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,3036,1997,3565,3177,2795,2842,2190,2655,2522,2538,,
2327,Cherokee,South Carolina,NA,NA,1990,NA,-81.62,35.05,NA,NA,NA,NA,NA,NA,NA,NA,40983,42212,44506,48216,52649,53772,55397,56024,1.005972274,41525,11278,38.2,1045.61,52.928,318,-19,336,1258,11,283,213.73,2.48,0.91,1.74,1.33,35.88,19.64,11.78,0,12.15,11.59,1.08,0.03,1.11,9.89,0.88,40.03,13.07,1.63,1.81,29.27,0.12,1.23,0.01,1.112,9.889,0.88,40.034,13.067,1.634,1.809,29.274,0.123,1.227,0.012,60.881,1.096,38.946,13.673,1.415,2.421,28.674,0.318,1.234,0.087,10.101,1.037,1295.166748,109.6042037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,1987,1694,3741,1737,1620,1798,1603,1920,2192,1558,,
2332,Darlington,South Carolina,NA,NA,1990,NA,-79.96,34.33,NA,NA,NA,NA,NA,NA,NA,NA,62717,62152,61851,65223,67523,68185,68617,67799,1.001263942,38366,28573,39.6,1462.56,46.959,326,0,325,1163,22,224,54.44,1.72,1.01,1.54,1.63,10.46,13.22,9.92,0,8.74,36.29,15.65,0.03,0.95,7.04,0.7,1.02,12.85,0.61,6.86,3.62,35.64,29.45,0.81,0.946,7.044,0.7,1.017,12.848,0.606,6.859,3.621,35.636,29.454,0.806,46.578,0.97,0.95,11.167,0.52,8.383,3.768,35.442,28.671,1.591,7.205,0.826,977,160.7845216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,1001,956,3260,1327,1087,1048,1311,1349,1383,990,,
2333,Dillon,South Carolina,NA,NA,1990,NA,-79.38,34.39,NA,NA,NA,NA,NA,NA,NA,NA,31083,30793,29114,30142,30699,31239,32120,31127,1.005577813,15399,14782,36.7,1071.02,29.936,326,-4,330,1183,23,228,36.94,1.98,0.37,0.81,0.97,5.47,19.1,6.83,0,10.2,28.27,26.63,0.03,0.49,5.77,0.35,0.26,12.39,0.48,6.36,2.75,32.27,37.29,1.22,0.49,5.769,0.352,0.258,12.388,0.48,6.356,2.748,32.266,37.291,1.216,54.606,0.484,0.247,10.856,0.44,8.269,2.396,32.18,36.953,1.576,5.782,0.424,1001,129.0872303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,885,779,2616,1102,1016,1009,1228,837,955,865,,
2342,Horry,South Carolina,NA,NA,1990,NA,-79,33.92,NA,NA,NA,NA,NA,NA,NA,NA,101419,126528,144053,164138,198019,229899,270430,298832,1.033007696,215071,36202,41.2,2972.04,90.608,322,7,315,1278,27,232,11.9,1.54,1.67,1.49,2.05,4.88,24.41,7.01,0,3.3,19.78,32.43,0.31,1.78,10.16,1.47,0.04,12.23,0.23,7.88,3.8,17.91,41.12,2.74,1.781,10.158,1.467,0.037,12.235,0.233,7.881,3.805,17.91,41.125,2.737,53.858,1.845,0.036,10.379,0.199,8.863,3.051,17.775,40.068,3.01,11.618,2.317,1152.5,239.8067098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2136,2181,2370,2947,2318,2608,2805,2312,2651,2385,,
2344,Kershaw,South Carolina,NA,NA,1990,NA,-80.59,34.34,NA,NA,NA,NA,NA,NA,NA,NA,39015,41336,43599,47660,52851,56506,61851,63161,1.018240653,43965,15188,40.2,1917.16,32.181,321,-3,324,1145,19,229,93.64,2.44,1.72,1.12,0.89,25.15,20.37,13.33,0,1.47,19.88,11.78,0.01,1.78,6.12,0.45,14.94,26.85,6.28,0.63,23.46,5.26,12.9,0.2,1.784,6.123,0.452,14.943,26.846,6.279,0.629,23.462,5.259,12.898,0.204,61.606,1.807,14.502,27.193,5.183,4.678,20.446,5.097,12.516,0.513,6.44,0.56,1198.666626,134.0383807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,3291,2266,1951,3356,2977,2576,3282,2772,3337,2881,,
2345,Lancaster,South Carolina,NA,NA,1990,NA,-80.7,34.69,NA,NA,NA,NA,NA,NA,NA,NA,53361,54006,54516,57290,61571,65875,76889,83160,1.031403776,54844,18278,39.6,1440.25,53.221,319,-10,328,1178,15,249,162.41,2.73,0.93,2.09,1.28,34.73,20.56,13.04,0,4.17,12.86,4.6,0.02,1.07,7.13,0.54,32.9,29.31,3.76,0.97,21.75,0.42,1.34,0.01,1.068,7.125,0.541,32.899,29.314,3.755,0.974,21.751,0.424,1.343,0.014,67.822,1.128,33.075,28.601,3.374,2.833,19.679,0.484,1.324,0.028,7.76,0.766,1294.333374,123.6820473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977,2646,2791,2267,3034,2415,2228,2277,2726,2864,2457,,
2346,Laurens,South Carolina,NA,NA,1990,NA,-82,34.48,NA,NA,NA,NA,NA,NA,NA,NA,52214,54551,58132,63479,69428,67629,66500,66533,0.996638674,46848,16933,39.9,1905.96,34.91,326,-8,334,1221,13,266,186.07,2.37,1.44,1.57,0.92,27.68,28.25,14.32,0,10.39,9.92,0.39,0.02,1.83,8.97,0.51,31.42,24.15,0.74,0.97,26.76,0.1,2.53,0,1.831,8.966,0.511,31.418,24.15,0.744,0.968,26.764,0.096,2.534,0,65.888,1.875,30.197,23.614,0.634,3.725,26.041,0.16,2.481,0.083,9.164,0.632,1406,134.0565325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3689,3183,2842,2522,4133,3383,3448,4042,3191,3451,3126,,
2347,Lee,South Carolina,NA,NA,1990,NA,-80.25,34.16,NA,NA,NA,NA,NA,NA,NA,NA,18929,18666,18437,20163,20088,20079,19191,18343,0.990994183,6419,12359,38.9,1052.91,18.254,324,1,323,1157,21,221,65.34,1.53,0.22,0.44,0.63,12.39,8.49,6.76,0,5.63,45.9,18.06,0,0.22,4.59,0.19,2.9,14.43,1.42,5.45,8.05,36.01,25.69,0.38,0.224,4.592,0.189,2.897,14.429,1.424,5.453,8.047,36.012,25.689,0.379,48.043,0.246,2.789,13.716,1.247,7.143,7.512,35.636,24.955,1.212,4.61,0.213,995.666626,62.86276353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1597,2010,2389,1783,2298,1524,2037,2430,2238,1647,,
2358,Spartanburg,South Carolina,NA,NA,1990,NA,-81.98,34.93,NA,NA,NA,NA,NA,NA,NA,NA,203023,214981,226793,241114,254443,264481,284713,293542,1.014851654,205680,58565,37.9,2165.93,131.263,319,-12,331,1276,11,282,239.73,2.4,0.94,5.67,3.59,26.58,19.87,11.91,0,12.4,15.43,0.6,0.02,1.27,18.05,2.27,32.18,12.38,0.61,0.64,28.83,0.08,2.04,0,1.271,18.048,2.275,32.183,12.378,0.61,0.642,28.826,0.079,2.04,0.003,54.558,1.296,30.549,11.453,0.549,2.104,28.241,0.201,2.056,0.071,18.97,3.138,1258.333374,128.3885211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108,3170,2571,1304,3226,3598,3122,2691,3176,3528,3146,,
